japanese,english
今日は晴れです。,It is sunny today.
私は猫が好きです。,I like cats.
あなたの名前は何ですか？,What is your name?
彼は先生です。,He is a teacher.
私は東京に住んでいます。,I live in Tokyo.
彼女はピアノを弾きます。,She plays the piano.
私たちは友達です。,We are friends.
彼らはサッカーをします。,They play soccer.
この本は面白いです。,This book is interesting.
私は毎日学校に行きます。,I go to school every day.
彼はバスで通学します。,He goes to school by bus.
今日は日曜日です。,Today is Sunday.
私は朝ごはんを食べました。,I ate breakfast.
彼女は英語を勉強しています。,She is studying English.
私は手紙を書きました。,I wrote a letter.
彼は映画を見ています。,He is watching a movie.
私はコーヒーを飲みます。,I drink coffee.
彼女は毎日走ります。,She runs every day.
私は新しい靴を買いました。,I bought new shoes.
彼らは音楽を聞いています。,They are listening to music.
彼女は将来医者になりたいと言っています。,She says she wants to become a doctor in the future.
私は昨日その映画を見て、とても感動しました。,"I watched that movie yesterday, and it moved me deeply."
彼らはこのプロジェクトを成功させるために一生懸命働いています。,They are working hard to make this project successful.
彼は私に、その問題についてどう思うか尋ねました。,He asked me what I thought about the problem.
私は旅行が大好きで、毎年新しい場所を訪れます。,"I love traveling, and I visit new places every year."
彼女はピアノを10年間練習してきました。,She has been practicing the piano for ten years.
明日、私たちはこの都市を探索する予定です。,We are planning to explore the city tomorrow.
私は新しいスマートフォンを買うかどうか迷っています。,I am wondering whether to buy a new smartphone or not.
彼はその試験に合格するために毎日勉強しています。,He studies every day to pass the exam.
彼女はフランス語を学ぶためにフランスに行くつもりです。,She is going to France to learn French.
